불용어 제거 리뷰
여름에 필수템이라 항상 구매하는데 헤퍼요 ㅠㅠㅠ 기획아님 음
사용하다보면 헤프지만 몸이든 얼굴이든 분사하면 되니 간편해서 굿
다들 선크림 얼굴에만 바를때 팔이랑 손가락 신경쓰는 사람이라 좋아요
11기획이라 좋아요 세일도 해주세요 상당히 헤퍼요ㅠ
야외활동할때 수시로 뿌려주는 용도로 구매했어요
급하게 뿌릴대도 좋고 외출전 마지막에 뿌리기도 좋고 휴대용도 나옴 좋겠음
제품 사용후 팔에 두드러기처럼 발진 올라왔어요 양 팔이 다요 참고로 평소에 알러지도 없고 아토피 같은것도 없는 정상피부입니다 저처럼 피부 얇으신분들 쓰지 마세요 저처럼 피부 하얀분들은 발진이 올라왔을때 상대적으로 어두운 피부보다 더 티납니다 피부 두껍고 건강하게 어두운 사람만 써야할거같아요 당연히 아토피 있으신분들은 더 더욱 사용하면 안 될듯
일반 선크림이 끈적거리고 불편해서 스프레이형을 구매하게 되었는데요 결과론적으로 말하면 재구매는 안 할 같아요 스프레이를 뿌릴 헤어 스프레이를 뿌리는 것처럼 매케하고 인공적인 향이 나서 잔기침이 나올때도있어요 사용 설명에도 팔다리는 뿌려도 되지만 얼굴은 손등에 뿌린 하라고 써있네요 직접적으로 쉽게 얼굴에 막 뿌리는 것은 안하게 돼요싑게 사용하려고 산건데ㅠ 투명해서 얼굴에 잘 발라졌나도 의문이고 날 썬크림을 발랐을 때와 다르게 피부가 타서 외출후 화끈거렸어요 스프레이 형식이라 내용물도 빨리 없어지는 편이에요 기회엔 제품을 찾아서 구매해야겠네요 ㅠ
매일 외출시 사용하는 꿀템 나름의 꿀팁 뜨거운 햇살에는꼭 뿌려주세여 선 스프레이는 사용법 다들 잘 아시니 넘어가고 찐 꿀팁 드리자묜 6통째 사용하는 제가 드리는 꿀팁은 흔들면 잘 안나옵니다 꼭 참고하세요1통 버렸어요 무조건 흔들면 분사가 안됩니다 덩기덕 하는 3박자만큼만 흔들어서 뿌려주세요 조금이라도 도움되셨다면 도움돼요부탁드려요
요고 분사력도 안개분사처럼 고르게 잘 분사되고 끈적임없이 파우더리하게 마무리되서 여름 최애 필수템이예여 올영 세일이라 가격이 저렴해서 쟁였어요 밖에서도 가볍게 수시로 뿌려줄 수 있어서 좋아요 향은 보통 선스프레이랑 똑같아요 뿌린 후 흰색 파우더 연기가스가 날아다녀용
여행을 갈 있어서 구매했어요 뿌리는 타입이라 편하게 이용할 수 있을 같아요
여행 가서 쓰려고 구매했어요 확실히 스프레이 형태가 막 뿌리기 좋은 같아요
놀러가서 잘 사용했습니다다리나 팔에 뿌리기 편해서 좋아요 11이라 여름 잘 사용했어요
가격 저렴하고 간편하고 워터프루프까지 되니 좋아요
식물나라 선스프레이 후기 올리브영에서 선스프레이를 이거 본적이 없는데 맞나요 이거밖에 없어서 샀는데 여름에 막 쓰기 좋아용 크기가 커서 휴대가 불편한점 막쓰다보니 생각보다 오래 못 쓰는점이 아쉽긴하지만 여름철 휴가때 쟁이면 요긴하게 쓰일 같아요
기획으로 저렴하게 구매했어요 바르는 거는 귀찮은데 편해요
해외 가서 잘 사용했습니다 뿌릴때 바닥이 미끄러워 지는건 조심하셔야 해요
여름에 바디쪽 선크림 바르기가 스프레이라서 좋음
선크림 바르기 귀찮아 하는 아빠 드리려고 구매했습니다 뿌리기만 하면 돼서 편한 거 같아요 워터프루프여서 담에도 잘 녹아 내릴 같지는 않습니다
외출 전 팔과 다리에 간편하게 뿌리고 나갈 수 있어 편리해요
스프레이라 뿌리기 간편해요 설명서에는 얼굴에 직접 뿌리지 말라고 해서 몸 위주로 뿌려요
