불용어 제거 리뷰
선스틱 사용하면서 만족한 제품이에요 바르고 나서도 뽀송해서 좋았어요 더울때 안그래도 유분올라오는데 화장품까지 기분이 안좋은데 제품은 그러지 않아서 좋았어요 저는 개인적으로 더 큰 용량도 나왔으면 좋겠어요 이것도 금방 써요ㅠㅠ
이게제일좋다해서샀는데여름에는다른제품보다덜유분이느껴져서좋았어요
선크림이 뽀송하게 발릴수있나싶어요 끈적거림이 없어 덧바르기 좋아요 여름에 사용하기 딱좋지만 세일에 쟁여놓으려고요 사이트에서 작은 사이즈랑 비교샷 찍어봤어요ㅎㅎㅎ
여행가서 간편하게 쓰려고 구매했어요 슥슥 문지르면 보송해져서 무겁고 답답하지않고 바른거같지않을정도로 가볍고 밀착력도 좋습니다 땀에의해 지워져버리는 선크림 덧바를때 간편하게 바를수있어서 좋아요 가방속에 넣어놓고 잘 쓰고 있습니다
여름동안 뽀송한 선크림 선스틱 찾다가 잘 사용한 제품이었어요 여름에워낙 기름기가 올라오는 피부 타입이었어서 유분기 없는거로만 찾는데 제품이 사용하는데 괜찮았어요 노세범 느낌으로 뽀송하게 선제품 올려 바르기에도 좋았고 무엇보다 손에 묻어나지 않아서 지저분해질 일도 없고 휴대용으로도 들고다니기에 괜찮더라구요 가을 겨울에는 건조한 날 이거 사용은 피부가 건조해지지 않을까 할수 있는데 저는 이거 아침에 안쓰고 선스틱 덧대서 발라줘야할떄 들고다니면서 쓰는중이에요선크림이 3시간인가 4시간 지나면 효능이 끝난다고 발라줘야한다고 하길래 기미 잡티생기는 부분에 자주 발라주는데 그럴때마다 오후에 발라주는거라서 기름기 제거하고 덧대주기 좋아요 언니도 잘쓰는중이에요
선크림이랑 선스틱 둘다 사용하는 사람으로써 제품 괜찮아요 저는 이런제품은 여름에 너무잘씁니다 여름 끈적하고 피부에 머리카락닿는제품 싫어하기때문에 노세범으로 뽀송항 타입으로 찾아서 쓰는데 스틱의 장점인 손에 닿지않게 바를수 있는점 이제품의 특징인 뽀송하게 발림 마무리할수있는점 둘이 가장의 강점인거같아요 저는 수부지타입의 피부라서 제품으로만은 가을 겨울에 쓰기는 어려울거같고 지성인 피부라면 이제품으로 선크림단계에서 발라도 될거같아요 저는 이제품 여름에 잘 바르고 다녔어요 얼굴부터 목까지 발라서 잘썼습니다 지금계절부터 겨울까지는 기존 수분선크림 바루고 가지고다니면서 사용하는 제품으로 사용하는중이에요 시간지나면 선크림 효능떨어지니 수시로 기미존 발라줘요
발림성좋고 끈적임없어서 잘쓰고있어요 재구매의향있습니다
올 여름 선크림은 이걸로 해결한 같아요 바르기 쉽고 간편하다 보니 이것만 쓰게 돼요
이전에는 식물나라 선스틱 사용했어요 에어리치 써보니까 확실히 더 가볍네요 식물나라 선스틱 쓸 때도 가볍다고 느꼈는데 그것보다 더 가벼웠어요 ㅎ 다 쓰고 버릴 때는 뚜껑만 재활용이고 선스틱 있는 부분은 분리가 어려우니 일반쓰레기라고 합니다 이게 아쉽네요
안바른것같은 산뜻함 대박입니다 이거 물건이어요 누가 발라도 대박 좋다 더 사고 할거에여 24년 12월 올영세일에도 쟁여둘겁니다 금방 달고 비싸긴해요 조아
썬스틱 좋아요 재작년 여름부터 시작해서 꾸준히 여름때마다 구매중ㅋㅋ 좋아서 지인들한테도 다 전파했어요
귀차니즘 남편아빠들에게 짱 밖에서 스포츠 많이하시는 분들 급할때 쓱쓱 바르기 좋아요 하얗게 뜨지않고 보송하게 마무리되는 점이 좋았어요 밀려서 하얀게 나올때도 있지만 장점들이 더 많아서 커버 가능 쿠팡이 더 싸다는 점 올영으로 한번구매하고 세네번째구매까지는 쿠팡으로
지난 여름을 함께했던 고마운 친구 유명한지 알겠더라구요 보송보송하고 산뜻하게 마무리 되는 게 선스틱끈적임 여기고 있던 생각을 완전히 바꿔 준 제품이예요 덕분에 여름동안 간편해진 하루하루를 보냈습니다
보송보송하게 마무리 되고 뭔가모공 같은데도 약간은 채워지는 듯한 느낌이 들어요
끈적임 보송보송하고 좋아요 여행가서 잘 사용했습니다
이거 이거 만족스러워요 끈적임 없는게 최고로 좋고 화장위에 덧발라도 문제없고 뽀송해서 좋아요 용량도 커서 만족입니다
사용하기 편해서 잘 쓰고 있습니다 빠르게 바르고 나갈때 주로 사용해요
남자친구가 이거아님 안씀 땀도많고 끈적이는거 질색팔색하는 앤데 이게최고라함
선스틱 쓰다가 궁금해서 사봤는데 꺼 쓰니까 선스틱에는 손이 안가더라구요 선스틱은 믿고 씁니당 달 쓰면서 불편한 점은 딱히 못 느꼈어요 그나마 까만옷 입으면 묻어나는기 티가난다 요정도 장점이 많아서 그정도는 감안하고 쓰려구요
촉촉하고 개인적으론 전 향도 좋다고느껴졋어용 저는 평소 건성인데 가을 겨울철은 와안전 극건성이라 보습감을 매우좋아하는편입니다 가격이조금 아쉬워서 세일할때구매햇습니다 파격세일시 재구매의사는 있습니다ㅎ 발림성 도좋았어요 0ㅋ
선크림만 바르면 개기름 뜨는 지성인분들 강추합니다 뽀송해요 나가거나해서 선크림 바르기 귀찮을 추천합니다 가성비는 별로긴한데 뽀송뽀송해서 씁니다 근디 검은 옷 입을 조심해야해요 하얗게 자국이 남더라구요
진작에 몰랐는지 여름에 얼굴에 기름이 안낍니다 좋아용
파우더리한 느낌이라 끈적이지 않아서 좋아요 여름에 잘 썼어요
선스틱은 편하게 쓸수 있어서 좋은것 같아요 밖에서 사용하기에 좋아요
에어리치 선크림 세부여행때 아주 요기나게 잘 사용했어요 바르면 기름기 잘 발라지고 수시로 덧바르기도 좋았러요
마무리감 보송보송해서지성분들악건성 다 쓰실수잏ㄴ을듯
지금까지 사용해 본 선스틱 중 신기하고 쓰자마자 정착템으로 정했습니다 겨울에는 워터 제형 선크림을 사용하고 여름에는 스틱 제형을 사용하는 편입니다 지금까지 늘 써왔던 선스틱은 바를 잔여 감이 있는 게 불만이었는데 선스틱은 분명 발랐는데 끈적임이 없고 백탁현상도 없는 신기한 선스틱입니다 얼굴 외 부위에 바르기 좋을 같아요 여름에 팔이나 다리에 선크림을 바르면 찝찝해서 잘 안 바르게 되는데 덕분에 앞으로 여름에 사용할 선스틱은 마스터즈 에어리치 선스틱으로 정했습니다
피부에 잘 발리고 끈적임 없고 백탁 현상도 없어서 여름이나 여행 갈때 늘 사용해요
써보고 좋아서 주변에 선물도 돌린 찐 또산템 보송보송해서 이것만 씁니다 다 쓰면 살거임
썬크림과 썬스틱은 중요하게 생각해서 제피부에 맞는걸로 네다섯가지를 사용해봤는데 대부분스틱류가 떡이지는제형이라 끈적여서 하나씩 목록에서 지워가는중 에이에치씨를 만나고정착 끈적임없고 매트한제형이라 바르고난후 보송함
군대간 남자친구 입대할 사줬던 건데 벌써 구매한지 한달이 넘었네요 끈적거리는거 극혐하는 남자친구라서 인터넷 검색도 해보고 올리브영 매장 가서 테스트해보고 안 끈적거리는 걸로 샀어요 바른지 안 바른지 헷갈릴 정도로 끈적거림 하나도 없어요
자외선 차단도 잘 되고 순하고 바른 느낌 편안한 제품 금방 닳고 비싼게 단점이지만 넘 좋아요 선스틱종류 아에 안 쓰는데 유일하게 여름에 놀러가거나 할 사용하다보니 벌써 재구매만 34번째네용
사용 후 모낭염이 올라와서 저에게는 안맞는 제품인것 같습니아 노세범이어서 사용 후 보송해지는 건 괜찮았는데 아쉬워요
파란통에 든 선크림스틱도 좋았는데 바르면 얅은 막이 씌어진것같더라구요 블랙도 궁금해서 테스트 해보고 샀어요 결론은 블랙이 훨씬좋네요 블랙스틱은 바른느낌이 하나도 안나서 이게 발린게 맞나 싶을정도로 가볍고 막씌워진 느낌이 없어요 끈적임 1도 없고 가벼워서 바른지 모를수도 있으니 기억하면서 잘 발라줘야해요 상큼한 레몬향이 나서 좋아요 안에 닫혀있는 중간 뚜껑은 쓸때는 열어둬도 된다고 하네요 궁금해서 고객센터에 전화해봤어요 얼굴에 슥슥 바르기도 좋고 몸에 바르기도 좋아요 크기는 두가지고 단점은 금방써버린다는거 쟁여놓고 씁니다 큰걸 사시길 추천합니다 엄마가 이것만 쓰셔서 항상 제가 떨어지지않게 채워드립니다
지성용에게 잘맞는 뽀송한 썬스틱이에요 그치만 건성인 제가 산 이유는 목에 바르기가 최고에요 목은 촉촉한거 바르면 찝찝해서 생략하기 쉬운데 목에다가 바를 용으로 샀습니당 지성이면 얼굴 목 강추 건성 복합성은 목만 쓰세요 바르는 느낌이 안 나서 두번씩 덧바르긴 차단도 잘 되서 4계절 애용합니다 단점은 양이 적어요
친구가 영업해서 샀는데 그만큼 좋더라고요 기름진 제형을 안좋아하는데 뽀송해지는 텍스쳐라 여름에 안산걸 후회합니다ㅠㅠ 남자분들도 편하고 가볍게 바르기 좋은거 같아요 여름 아닐때 기초를 바르고 바르면 제형이 안녹고 따로 놀수있어서 스킨만 에센스까지만 바르고 바르는게 좋은거 같아요
